ppid,experiment,order,block,trial,time,target,lapse_fix_target,error,lapse_fix_error,forearmlength,closest_to,lapse
d3-007,3_avatartooluse,second,5,18,post,Wrist,Wrist,-0.0155,-0.0155,0.2661,Wrist,FALSE
d3-008,3_avatartooluse,pre,2,1,pre,Wrist,Wrist,0.0793,0.0793,0.2619,Wrist,FALSE
d3-008,3_avatartooluse,pre,2,2,pre,Elbow,Elbow,-0.2123,-0.2123,0.2621,Elbow,FALSE
d3-008,3_avatartooluse,pre,2,3,pre,Forearm,Forearm,-0.086,-0.086,0.262,Forearm,FALSE
d3-008,3_avatartooluse,pre,2,4,pre,Wrist,Wrist,0.019,0.019,0.2623,Wrist,FALSE
d3-008,3_avatartooluse,pre,2,5,pre,Elbow,Elbow,-0.1894,-0.1894,0.2631,Elbow,FALSE
d3-008,3_avatartooluse,pre,2,6,pre,Forearm,Forearm,-0.0229,-0.0229,0.2637,Elbow,FALSE
d3-008,3_avatartooluse,pre,2,7,pre,Wrist,Wrist,0.0431,0.0431,0.2641,Wrist,FALSE
d3-008,3_avatartooluse,pre,2,8,pre,Forearm,Forearm,-0.0481,-0.0481,0.2637,Elbow,FALSE
d3-008,3_avatartooluse,pre,2,9,pre,Elbow,Elbow,-0.2119,-0.2119,0.2637,Elbow,FALSE
d3-008,3_avatartooluse,pre,2,10,pre,Forearm,Forearm,-0.018,-0.018,0.2635,Elbow,FALSE
d3-008,3_avatartooluse,pre,2,11,pre,Wrist,Wrist,0.0303,0.0303,0.2632,Wrist,FALSE
d3-008,3_avatartooluse,pre,2,12,pre,Elbow,Elbow,-0.2204,-0.2204,0.2628,Elbow,FALSE
d3-008,3_avatartooluse,pre,2,13,pre,Wrist,Wrist,0.0218,0.0218,0.2628,Wrist,FALSE
d3-008,3_avatartooluse,pre,2,14,pre,Elbow,Elbow,-0.2235,-0.2235,0.2632,Elbow,FALSE
d3-008,3_avatartooluse,pre,2,15,pre,Forearm,Forearm,-0.0184,-0.0184,0.2631,Elbow,FALSE
d3-008,3_avatartooluse,pre,2,16,pre,Elbow,Elbow,-0.232,-0.232,0.263,Elbow,FALSE
