ppid,trial_num_in_block,time,order,vel_m_filt,vel_lat_filt,acc_m_filtfilt,dec_m_filtfilt,acc_lat_filtfilt,dec_lat_filtfilt
d2-004,17,pre,pre,539.2112856755236,730,1211.3610035027173,-1488.3001282278758,415,955
d2-004,18,post,second,646.1869245927071,595,1706.8958462992496,-1569.8449921532492,330,815
d2-004,18,pre,pre,583.4842194572442,735,1924.6148806036751,-1555.2346166071477,565,925
d2-005,1,post,second,723.2727858392955,395,3282.0444109808045,-2365.110702177504,160,750
d2-005,1,pre,pre,554.9047418343596,450,1737.9048915460726,-1411.8982902330822,280,900
d2-005,2,post,second,805.0060807082482,410,3363.9177136228454,-2294.008988748411,205,655
d2-005,2,pre,pre,716.2356316464933,670,1514.1724270143345,-2707.1260572039723,450,775
d2-005,3,post,second,864.9625554117183,490,3303.122835003348,-3050.2272275119235,200,685
d2-005,3,pre,pre,865.4913286250351,425,3764.522538958162,-2405.6545745724025,155,800
d2-005,4,post,second,866.4651808553781,480,3661.776752413445,-2728.875789024628,230,590
d2-005,4,pre,pre,805.2411248934654,550,3051.6650507120776,-3456.3090335432053,195,725
d2-005,5,post,second,947.9038795315278,430,3630.8764517202058,-2892.3734427329714,175,485
d2-005,5,pre,pre,893.6637581076254,400,4336.71658261804,-2663.19071827624,165,525
d2-005,6,post,second,897.8491291658119,510,3891.362950009784,-3033.8923479511013,240,690
d2-005,6,pre,pre,886.2766789695379,480,4222.353252158264,-2382.355355902354,250,795
d2-005,7,post,second,958.7473608338876,475,3610.3298776224788,-3659.9348080284767,220,670
d2-005,7,pre,pre,972.7479693786793,565,4373.990190407972,-4043.6825590273056,340,730
d2-005,8,post,second,859.4536438876273,540,2649.876966111483,-2853.847890236187,285,635
d2-005,8,pre,pre,741.162549993108,470,3933.0527071792912,-2514.295147562715,145,645
d2-005,9,post,second,955.2095652166012,455,3813.3725063319093,-3150.615390106419,210,575
d2-005,9,pre,pre,922.369519386549,420,4799.71023475005,-3216.4373510239698,190,500
d2-005,10,post,second,852.1751126920879,465,3403.0864723639984,-3060.525047962814,205,630
d2-005,10,pre,pre,1059.5572596352886,430,4062.425860256446,-3667.887362829739,215,595
d2-005,11,post,second,975.4354503666955,435,3948.9502103836103,-2881.1362771665445,220,560
d2-005,11,pre,pre,903.8311046221966,480,3506.5335836428108,-2858.9455034268226,190,660
d2-005,12,post,second,847.0891669720485,440,4557.558001020974,-3049.79541412221,220,710
d2-005,12,pre,pre,994.7895754824826,465,3393.8100683254597,-3971.7111485945225,195,635
d2-005,13,post,second,990.8496239915968,390,4222.510828394096,-4147.028908793643,205,525
d2-005,13,pre,pre,926.5173826328707,385,4263.47878708819,-2648.8119446715664,210,505
d2-005,14,post,second,877.3437976235864,405,4303.050966882818,-2835.4926007607114,215,600
d2-005,14,pre,pre,1049.0193727313026,435,3892.369921848888,-4310.141568472272,200,575
d2-005,15,post,second,892.6963277863772,425,4105.873015008559,-3140.5296462097276,210,645
d2-005,15,pre,pre,1024.6133825804422,450,4118.485792738698,-4077.1263971876215,200,595
d2-005,16,post,second,999.0118230398183,405,3961.51923620705,-3366.7641796479443,215,595
d2-005,16,pre,pre,1098.0551490649361,450,3809.282020137689,-4226.90529525515,205,610
