experiment,ppid,session_num,trial_num,block_num,trial_num_in_block,start_time,end_time,manual_reach_vive_wrist_movement_steamvr_location_0,manual_reach_ppt_hand_movement_location_0,manual_reach_eyeTrackingData_location_0,tool_reach_vive_tool_movement_steamvr_location_0,tool_reach_eyeTrackingData_location_0,tool_reach_ppt_tool_movement_location_0,landmarkstimulus_estimates_location_0,landmark_eyeTrackingData_location_0
1_tooluseinVR,d1-022,2,77,3,11,1284.883,1286.682,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T095.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T095.csv
1_tooluseinVR,d1-022,2,78,3,12,1290.736,1291.924,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T096.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T096.csv
1_tooluseinVR,d1-022,2,79,3,13,1295.978,1298.877,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T097.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T097.csv
1_tooluseinVR,d1-022,2,80,3,14,1302.93,1305.118,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T098.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T098.csv
1_tooluseinVR,d1-022,2,81,3,15,1309.172,1311.782,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T099.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T099.csv
1_tooluseinVR,d1-022,2,82,3,16,1315.832,1317.155,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T100.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T100.csv
1_tooluseinVR,d1-022,2,83,3,17,1321.199,1322.277,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T101.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T101.csv
1_tooluseinVR,d1-022,2,84,3,18,1326.308,1327.174,,,,,,,1_tooluseinVR/d1-022/S002/trackers/landmark/landmarkstimulus_estimates_T102.csv,1_tooluseinVR/d1-022/S002/trackers/landmark/landmark_eyeTrackingData_T102.csv
1_tooluseinVR,d1-022,2,85,4,1,1511.952,1516.461,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T103.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T103.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T103.csv,,,,,
1_tooluseinVR,d1-022,2,86,4,2,1519.415,1524.013,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T104.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T104.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T104.csv,,,,,
1_tooluseinVR,d1-022,2,87,4,3,1526.967,1531.244,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T105.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T105.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T105.csv,,,,,
1_tooluseinVR,d1-022,2,88,4,4,1534.852,1538.951,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T106.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T106.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T106.csv,,,,,
1_tooluseinVR,d1-022,2,89,4,5,1541.906,1546.013,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_vive_wrist_movement_steamvr_T107.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_ppt_hand_movement_T107.csv,1_tooluseinVR/d1-022/S002/trackers/manual_reach/manual_reach_eyeTrackingData_T107.csv,,,,,
